scenario,parameter_name,parameter_value,probe_count,side_weighted_gamma_threshold,count,pass_strong_signal_count,pass_strong_signal_rate,low_signal_unresolved_count,low_signal_unresolved_rate,fail_nonfinite_count,fail_nonfinite_rate,fail_branch_count,fail_branch_rate,fail_structure_count,fail_structure_rate,fail_fd_count,fail_fd_rate,fail_adjoint_count,fail_adjoint_rate
clean_low_bilinear_signal,none,0.0,2,0.25,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,2,0.5,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,2,1.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,2,2.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,2,4.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,2,8.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,2,16.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,2,32.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,2,64.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,2,128.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,4,0.25,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,4,0.5,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,4,1.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,4,2.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,4,4.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,4,8.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,4,16.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,4,32.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,4,64.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,4,128.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,8,0.25,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,8,0.5,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,8,1.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,8,2.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,8,4.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,8,8.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,8,16.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,8,32.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,8,64.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,8,128.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,16,0.25,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,16,0.5,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,16,1.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,16,2.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,16,4.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,16,8.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,16,16.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,16,32.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,16,64.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
clean_low_bilinear_signal,none,0.0,16,128.0,24,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,1,0.25,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,1,0.5,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,1,1.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,1,2.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,1,4.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,1,8.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,1,16.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,1,32.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,1,64.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,1,128.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,2,0.25,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,2,0.5,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,2,1.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,2,2.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,2,4.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,2,8.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,2,16.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,2,32.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,2,64.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,2,128.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,4,0.25,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,4,0.5,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,4,1.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,4,2.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,4,4.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,4,8.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,4,16.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,4,32.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,4,64.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,4,128.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,8,0.25,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,8,0.5,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,8,1.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,8,2.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,8,4.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,8,8.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,8,16.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,8,32.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,8,64.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,8,128.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,16,0.25,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,16,0.5,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,16,1.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,16,2.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,16,4.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
diagnostic_only_support_flip,none,0.0,16,8.0,24,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
