cell_id,case_id,field_unit_id,ray_prefix_id,family_id,orientation_id,aperture_id,dimensionless_stress_multiplier,method_id,logical_scalar_grid_point_queries,batched_interpolation_dispatches,coordinate_reverse_sweeps,forward_mode_bend_jvp_evaluations,reverse_mode_field_vjp_evaluations,exact_high_evaluations,coefficient_path,logical_query_count_source_field,interpolation_dispatches,reverse_mode_vjp_evaluations,path_rule,ray_count,step_count,sweep_count,midpoint_curvature_evaluations_per_sweep,scalar_value_point_queries_per_sweep,central_difference_point_queries_per_sweep,total_field_point_queries_per_sweep,total_field_point_queries,vectorized_interpolation_calls,direction_updates,position_updates,output_additional_field_point_queries,exact_high_calls,update_scheme,query_unit,iteration_unit
smooth-s1729-orientation_22-narrow__stress_1,smooth-s1729-orientation_22-narrow,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,1.0,operator_consistent_homotopy,460544,7,4,0,0,0,all RK4 endpoints and midpoints,logical_scalar_grid_point_queries,,,,,,,,,,,,,,,,,,,
smooth-s1729-orientation_22-narrow__stress_1,smooth-s1729-orientation_22-narrow,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,1.0,teacher_discrete_jvp,1146880,,,1,,0,,logical_scalar_grid_point_queries,4480,0,central-difference RK4 stages plus midpoint output,,,,,,,,,,,,,,,,
smooth-s1729-orientation_22-narrow__stress_1,smooth-s1729-orientation_22-narrow,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,1.0,picard_1,458752,,,,,,,total_field_point_queries,,,,256,128,1,32768,32768,196608,229376,458752,2,1,1,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_22-narrow__stress_1,smooth-s1729-orientation_22-narrow,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,1.0,picard_2,688128,,,,,,,total_field_point_queries,,,,256,128,2,32768,32768,196608,229376,688128,3,2,2,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_22-narrow__stress_1,smooth-s1729-orientation_22-narrow,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,1.0,high128,1146880,,,,,1,,logical_scalar_grid_point_queries,4480,,,,,,,,,,,,,,,,,,
smooth-s1729-orientation_22-narrow__stress_3,smooth-s1729-orientation_22-narrow,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,3.0,operator_consistent_homotopy,460544,7,4,0,0,0,all RK4 endpoints and midpoints,logical_scalar_grid_point_queries,,,,,,,,,,,,,,,,,,,
smooth-s1729-orientation_22-narrow__stress_3,smooth-s1729-orientation_22-narrow,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,3.0,teacher_discrete_jvp,1146880,,,1,,0,,logical_scalar_grid_point_queries,4480,0,central-difference RK4 stages plus midpoint output,,,,,,,,,,,,,,,,
smooth-s1729-orientation_22-narrow__stress_3,smooth-s1729-orientation_22-narrow,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,3.0,picard_1,458752,,,,,,,total_field_point_queries,,,,256,128,1,32768,32768,196608,229376,458752,2,1,1,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_22-narrow__stress_3,smooth-s1729-orientation_22-narrow,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,3.0,picard_2,688128,,,,,,,total_field_point_queries,,,,256,128,2,32768,32768,196608,229376,688128,3,2,2,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_22-narrow__stress_3,smooth-s1729-orientation_22-narrow,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,3.0,high128,1146880,,,,,1,,logical_scalar_grid_point_queries,4480,,,,,,,,,,,,,,,,,,
smooth-s1729-orientation_22-narrow__stress_10,smooth-s1729-orientation_22-narrow,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,10.0,operator_consistent_homotopy,460544,7,4,0,0,0,all RK4 endpoints and midpoints,logical_scalar_grid_point_queries,,,,,,,,,,,,,,,,,,,
smooth-s1729-orientation_22-narrow__stress_10,smooth-s1729-orientation_22-narrow,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,10.0,teacher_discrete_jvp,1146880,,,1,,0,,logical_scalar_grid_point_queries,4480,0,central-difference RK4 stages plus midpoint output,,,,,,,,,,,,,,,,
smooth-s1729-orientation_22-narrow__stress_10,smooth-s1729-orientation_22-narrow,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,10.0,picard_1,458752,,,,,,,total_field_point_queries,,,,256,128,1,32768,32768,196608,229376,458752,2,1,1,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_22-narrow__stress_10,smooth-s1729-orientation_22-narrow,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,10.0,picard_2,688128,,,,,,,total_field_point_queries,,,,256,128,2,32768,32768,196608,229376,688128,3,2,2,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_22-narrow__stress_10,smooth-s1729-orientation_22-narrow,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,10.0,high128,1146880,,,,,1,,logical_scalar_grid_point_queries,4480,,,,,,,,,,,,,,,,,,
smooth-s1729-orientation_22-wide__stress_1,smooth-s1729-orientation_22-wide,smooth-s1729,smooth-s1729,smooth,orientation_22,wide,1.0,operator_consistent_homotopy,460544,7,4,0,0,0,all RK4 endpoints and midpoints,logical_scalar_grid_point_queries,,,,,,,,,,,,,,,,,,,
smooth-s1729-orientation_22-wide__stress_1,smooth-s1729-orientation_22-wide,smooth-s1729,smooth-s1729,smooth,orientation_22,wide,1.0,teacher_discrete_jvp,1146880,,,1,,0,,logical_scalar_grid_point_queries,4480,0,central-difference RK4 stages plus midpoint output,,,,,,,,,,,,,,,,
smooth-s1729-orientation_22-wide__stress_1,smooth-s1729-orientation_22-wide,smooth-s1729,smooth-s1729,smooth,orientation_22,wide,1.0,picard_1,458752,,,,,,,total_field_point_queries,,,,256,128,1,32768,32768,196608,229376,458752,2,1,1,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_22-wide__stress_1,smooth-s1729-orientation_22-wide,smooth-s1729,smooth-s1729,smooth,orientation_22,wide,1.0,picard_2,688128,,,,,,,total_field_point_queries,,,,256,128,2,32768,32768,196608,229376,688128,3,2,2,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_22-wide__stress_1,smooth-s1729-orientation_22-wide,smooth-s1729,smooth-s1729,smooth,orientation_22,wide,1.0,high128,1146880,,,,,1,,logical_scalar_grid_point_queries,4480,,,,,,,,,,,,,,,,,,
smooth-s1729-orientation_22-wide__stress_3,smooth-s1729-orientation_22-wide,smooth-s1729,smooth-s1729,smooth,orientation_22,wide,3.0,operator_consistent_homotopy,460544,7,4,0,0,0,all RK4 endpoints and midpoints,logical_scalar_grid_point_queries,,,,,,,,,,,,,,,,,,,
smooth-s1729-orientation_22-wide__stress_3,smooth-s1729-orientation_22-wide,smooth-s1729,smooth-s1729,smooth,orientation_22,wide,3.0,teacher_discrete_jvp,1146880,,,1,,0,,logical_scalar_grid_point_queries,4480,0,central-difference RK4 stages plus midpoint output,,,,,,,,,,,,,,,,
smooth-s1729-orientation_22-wide__stress_3,smooth-s1729-orientation_22-wide,smooth-s1729,smooth-s1729,smooth,orientation_22,wide,3.0,picard_1,458752,,,,,,,total_field_point_queries,,,,256,128,1,32768,32768,196608,229376,458752,2,1,1,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_22-wide__stress_3,smooth-s1729-orientation_22-wide,smooth-s1729,smooth-s1729,smooth,orientation_22,wide,3.0,picard_2,688128,,,,,,,total_field_point_queries,,,,256,128,2,32768,32768,196608,229376,688128,3,2,2,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_22-wide__stress_3,smooth-s1729-orientation_22-wide,smooth-s1729,smooth-s1729,smooth,orientation_22,wide,3.0,high128,1146880,,,,,1,,logical_scalar_grid_point_queries,4480,,,,,,,,,,,,,,,,,,
smooth-s1729-orientation_22-wide__stress_10,smooth-s1729-orientation_22-wide,smooth-s1729,smooth-s1729,smooth,orientation_22,wide,10.0,operator_consistent_homotopy,460544,7,4,0,0,0,all RK4 endpoints and midpoints,logical_scalar_grid_point_queries,,,,,,,,,,,,,,,,,,,
smooth-s1729-orientation_22-wide__stress_10,smooth-s1729-orientation_22-wide,smooth-s1729,smooth-s1729,smooth,orientation_22,wide,10.0,teacher_discrete_jvp,1146880,,,1,,0,,logical_scalar_grid_point_queries,4480,0,central-difference RK4 stages plus midpoint output,,,,,,,,,,,,,,,,
smooth-s1729-orientation_22-wide__stress_10,smooth-s1729-orientation_22-wide,smooth-s1729,smooth-s1729,smooth,orientation_22,wide,10.0,picard_1,458752,,,,,,,total_field_point_queries,,,,256,128,1,32768,32768,196608,229376,458752,2,1,1,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_22-wide__stress_10,smooth-s1729-orientation_22-wide,smooth-s1729,smooth-s1729,smooth,orientation_22,wide,10.0,picard_2,688128,,,,,,,total_field_point_queries,,,,256,128,2,32768,32768,196608,229376,688128,3,2,2,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_22-wide__stress_10,smooth-s1729-orientation_22-wide,smooth-s1729,smooth-s1729,smooth,orientation_22,wide,10.0,high128,1146880,,,,,1,,logical_scalar_grid_point_queries,4480,,,,,,,,,,,,,,,,,,
smooth-s1729-orientation_58-narrow__stress_1,smooth-s1729-orientation_58-narrow,smooth-s1729,smooth-s1729,smooth,orientation_58,narrow,1.0,operator_consistent_homotopy,460544,7,4,0,0,0,all RK4 endpoints and midpoints,logical_scalar_grid_point_queries,,,,,,,,,,,,,,,,,,,
smooth-s1729-orientation_58-narrow__stress_1,smooth-s1729-orientation_58-narrow,smooth-s1729,smooth-s1729,smooth,orientation_58,narrow,1.0,teacher_discrete_jvp,1146880,,,1,,0,,logical_scalar_grid_point_queries,4480,0,central-difference RK4 stages plus midpoint output,,,,,,,,,,,,,,,,
smooth-s1729-orientation_58-narrow__stress_1,smooth-s1729-orientation_58-narrow,smooth-s1729,smooth-s1729,smooth,orientation_58,narrow,1.0,picard_1,458752,,,,,,,total_field_point_queries,,,,256,128,1,32768,32768,196608,229376,458752,2,1,1,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_58-narrow__stress_1,smooth-s1729-orientation_58-narrow,smooth-s1729,smooth-s1729,smooth,orientation_58,narrow,1.0,picard_2,688128,,,,,,,total_field_point_queries,,,,256,128,2,32768,32768,196608,229376,688128,3,2,2,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_58-narrow__stress_1,smooth-s1729-orientation_58-narrow,smooth-s1729,smooth-s1729,smooth,orientation_58,narrow,1.0,high128,1146880,,,,,1,,logical_scalar_grid_point_queries,4480,,,,,,,,,,,,,,,,,,
smooth-s1729-orientation_58-narrow__stress_3,smooth-s1729-orientation_58-narrow,smooth-s1729,smooth-s1729,smooth,orientation_58,narrow,3.0,operator_consistent_homotopy,460544,7,4,0,0,0,all RK4 endpoints and midpoints,logical_scalar_grid_point_queries,,,,,,,,,,,,,,,,,,,
smooth-s1729-orientation_58-narrow__stress_3,smooth-s1729-orientation_58-narrow,smooth-s1729,smooth-s1729,smooth,orientation_58,narrow,3.0,teacher_discrete_jvp,1146880,,,1,,0,,logical_scalar_grid_point_queries,4480,0,central-difference RK4 stages plus midpoint output,,,,,,,,,,,,,,,,
smooth-s1729-orientation_58-narrow__stress_3,smooth-s1729-orientation_58-narrow,smooth-s1729,smooth-s1729,smooth,orientation_58,narrow,3.0,picard_1,458752,,,,,,,total_field_point_queries,,,,256,128,1,32768,32768,196608,229376,458752,2,1,1,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_58-narrow__stress_3,smooth-s1729-orientation_58-narrow,smooth-s1729,smooth-s1729,smooth,orientation_58,narrow,3.0,picard_2,688128,,,,,,,total_field_point_queries,,,,256,128,2,32768,32768,196608,229376,688128,3,2,2,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_58-narrow__stress_3,smooth-s1729-orientation_58-narrow,smooth-s1729,smooth-s1729,smooth,orientation_58,narrow,3.0,high128,1146880,,,,,1,,logical_scalar_grid_point_queries,4480,,,,,,,,,,,,,,,,,,
smooth-s1729-orientation_58-narrow__stress_10,smooth-s1729-orientation_58-narrow,smooth-s1729,smooth-s1729,smooth,orientation_58,narrow,10.0,operator_consistent_homotopy,460544,7,4,0,0,0,all RK4 endpoints and midpoints,logical_scalar_grid_point_queries,,,,,,,,,,,,,,,,,,,
smooth-s1729-orientation_58-narrow__stress_10,smooth-s1729-orientation_58-narrow,smooth-s1729,smooth-s1729,smooth,orientation_58,narrow,10.0,teacher_discrete_jvp,1146880,,,1,,0,,logical_scalar_grid_point_queries,4480,0,central-difference RK4 stages plus midpoint output,,,,,,,,,,,,,,,,
smooth-s1729-orientation_58-narrow__stress_10,smooth-s1729-orientation_58-narrow,smooth-s1729,smooth-s1729,smooth,orientation_58,narrow,10.0,picard_1,458752,,,,,,,total_field_point_queries,,,,256,128,1,32768,32768,196608,229376,458752,2,1,1,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_58-narrow__stress_10,smooth-s1729-orientation_58-narrow,smooth-s1729,smooth-s1729,smooth,orientation_58,narrow,10.0,picard_2,688128,,,,,,,total_field_point_queries,,,,256,128,2,32768,32768,196608,229376,688128,3,2,2,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_58-narrow__stress_10,smooth-s1729-orientation_58-narrow,smooth-s1729,smooth-s1729,smooth,orientation_58,narrow,10.0,high128,1146880,,,,,1,,logical_scalar_grid_point_queries,4480,,,,,,,,,,,,,,,,,,
smooth-s1729-orientation_58-wide__stress_1,smooth-s1729-orientation_58-wide,smooth-s1729,smooth-s1729,smooth,orientation_58,wide,1.0,operator_consistent_homotopy,460544,7,4,0,0,0,all RK4 endpoints and midpoints,logical_scalar_grid_point_queries,,,,,,,,,,,,,,,,,,,
smooth-s1729-orientation_58-wide__stress_1,smooth-s1729-orientation_58-wide,smooth-s1729,smooth-s1729,smooth,orientation_58,wide,1.0,teacher_discrete_jvp,1146880,,,1,,0,,logical_scalar_grid_point_queries,4480,0,central-difference RK4 stages plus midpoint output,,,,,,,,,,,,,,,,
smooth-s1729-orientation_58-wide__stress_1,smooth-s1729-orientation_58-wide,smooth-s1729,smooth-s1729,smooth,orientation_58,wide,1.0,picard_1,458752,,,,,,,total_field_point_queries,,,,256,128,1,32768,32768,196608,229376,458752,2,1,1,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_58-wide__stress_1,smooth-s1729-orientation_58-wide,smooth-s1729,smooth-s1729,smooth,orientation_58,wide,1.0,picard_2,688128,,,,,,,total_field_point_queries,,,,256,128,2,32768,32768,196608,229376,688128,3,2,2,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_58-wide__stress_1,smooth-s1729-orientation_58-wide,smooth-s1729,smooth-s1729,smooth,orientation_58,wide,1.0,high128,1146880,,,,,1,,logical_scalar_grid_point_queries,4480,,,,,,,,,,,,,,,,,,
smooth-s1729-orientation_58-wide__stress_3,smooth-s1729-orientation_58-wide,smooth-s1729,smooth-s1729,smooth,orientation_58,wide,3.0,operator_consistent_homotopy,460544,7,4,0,0,0,all RK4 endpoints and midpoints,logical_scalar_grid_point_queries,,,,,,,,,,,,,,,,,,,
smooth-s1729-orientation_58-wide__stress_3,smooth-s1729-orientation_58-wide,smooth-s1729,smooth-s1729,smooth,orientation_58,wide,3.0,teacher_discrete_jvp,1146880,,,1,,0,,logical_scalar_grid_point_queries,4480,0,central-difference RK4 stages plus midpoint output,,,,,,,,,,,,,,,,
smooth-s1729-orientation_58-wide__stress_3,smooth-s1729-orientation_58-wide,smooth-s1729,smooth-s1729,smooth,orientation_58,wide,3.0,picard_1,458752,,,,,,,total_field_point_queries,,,,256,128,1,32768,32768,196608,229376,458752,2,1,1,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_58-wide__stress_3,smooth-s1729-orientation_58-wide,smooth-s1729,smooth-s1729,smooth,orientation_58,wide,3.0,picard_2,688128,,,,,,,total_field_point_queries,,,,256,128,2,32768,32768,196608,229376,688128,3,2,2,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_58-wide__stress_3,smooth-s1729-orientation_58-wide,smooth-s1729,smooth-s1729,smooth,orientation_58,wide,3.0,high128,1146880,,,,,1,,logical_scalar_grid_point_queries,4480,,,,,,,,,,,,,,,,,,
smooth-s1729-orientation_58-wide__stress_10,smooth-s1729-orientation_58-wide,smooth-s1729,smooth-s1729,smooth,orientation_58,wide,10.0,operator_consistent_homotopy,460544,7,4,0,0,0,all RK4 endpoints and midpoints,logical_scalar_grid_point_queries,,,,,,,,,,,,,,,,,,,
smooth-s1729-orientation_58-wide__stress_10,smooth-s1729-orientation_58-wide,smooth-s1729,smooth-s1729,smooth,orientation_58,wide,10.0,teacher_discrete_jvp,1146880,,,1,,0,,logical_scalar_grid_point_queries,4480,0,central-difference RK4 stages plus midpoint output,,,,,,,,,,,,,,,,
smooth-s1729-orientation_58-wide__stress_10,smooth-s1729-orientation_58-wide,smooth-s1729,smooth-s1729,smooth,orientation_58,wide,10.0,picard_1,458752,,,,,,,total_field_point_queries,,,,256,128,1,32768,32768,196608,229376,458752,2,1,1,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_58-wide__stress_10,smooth-s1729-orientation_58-wide,smooth-s1729,smooth-s1729,smooth,orientation_58,wide,10.0,picard_2,688128,,,,,,,total_field_point_queries,,,,256,128,2,32768,32768,196608,229376,688128,3,2,2,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1729-orientation_58-wide__stress_10,smooth-s1729-orientation_58-wide,smooth-s1729,smooth-s1729,smooth,orientation_58,wide,10.0,high128,1146880,,,,,1,,logical_scalar_grid_point_queries,4480,,,,,,,,,,,,,,,,,,
smooth-s1871-orientation_22-narrow__stress_1,smooth-s1871-orientation_22-narrow,smooth-s1871,smooth-s1871,smooth,orientation_22,narrow,1.0,operator_consistent_homotopy,460544,7,4,0,0,0,all RK4 endpoints and midpoints,logical_scalar_grid_point_queries,,,,,,,,,,,,,,,,,,,
smooth-s1871-orientation_22-narrow__stress_1,smooth-s1871-orientation_22-narrow,smooth-s1871,smooth-s1871,smooth,orientation_22,narrow,1.0,teacher_discrete_jvp,1146880,,,1,,0,,logical_scalar_grid_point_queries,4480,0,central-difference RK4 stages plus midpoint output,,,,,,,,,,,,,,,,
smooth-s1871-orientation_22-narrow__stress_1,smooth-s1871-orientation_22-narrow,smooth-s1871,smooth-s1871,smooth,orientation_22,narrow,1.0,picard_1,458752,,,,,,,total_field_point_queries,,,,256,128,1,32768,32768,196608,229376,458752,2,1,1,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1871-orientation_22-narrow__stress_1,smooth-s1871-orientation_22-narrow,smooth-s1871,smooth-s1871,smooth,orientation_22,narrow,1.0,picard_2,688128,,,,,,,total_field_point_queries,,,,256,128,2,32768,32768,196608,229376,688128,3,2,2,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1871-orientation_22-narrow__stress_1,smooth-s1871-orientation_22-narrow,smooth-s1871,smooth-s1871,smooth,orientation_22,narrow,1.0,high128,1146880,,,,,1,,logical_scalar_grid_point_queries,4480,,,,,,,,,,,,,,,,,,
smooth-s1871-orientation_22-narrow__stress_3,smooth-s1871-orientation_22-narrow,smooth-s1871,smooth-s1871,smooth,orientation_22,narrow,3.0,operator_consistent_homotopy,460544,7,4,0,0,0,all RK4 endpoints and midpoints,logical_scalar_grid_point_queries,,,,,,,,,,,,,,,,,,,
smooth-s1871-orientation_22-narrow__stress_3,smooth-s1871-orientation_22-narrow,smooth-s1871,smooth-s1871,smooth,orientation_22,narrow,3.0,teacher_discrete_jvp,1146880,,,1,,0,,logical_scalar_grid_point_queries,4480,0,central-difference RK4 stages plus midpoint output,,,,,,,,,,,,,,,,
smooth-s1871-orientation_22-narrow__stress_3,smooth-s1871-orientation_22-narrow,smooth-s1871,smooth-s1871,smooth,orientation_22,narrow,3.0,picard_1,458752,,,,,,,total_field_point_queries,,,,256,128,1,32768,32768,196608,229376,458752,2,1,1,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1871-orientation_22-narrow__stress_3,smooth-s1871-orientation_22-narrow,smooth-s1871,smooth-s1871,smooth,orientation_22,narrow,3.0,picard_2,688128,,,,,,,total_field_point_queries,,,,256,128,2,32768,32768,196608,229376,688128,3,2,2,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1871-orientation_22-narrow__stress_3,smooth-s1871-orientation_22-narrow,smooth-s1871,smooth-s1871,smooth,orientation_22,narrow,3.0,high128,1146880,,,,,1,,logical_scalar_grid_point_queries,4480,,,,,,,,,,,,,,,,,,
smooth-s1871-orientation_22-narrow__stress_10,smooth-s1871-orientation_22-narrow,smooth-s1871,smooth-s1871,smooth,orientation_22,narrow,10.0,operator_consistent_homotopy,460544,7,4,0,0,0,all RK4 endpoints and midpoints,logical_scalar_grid_point_queries,,,,,,,,,,,,,,,,,,,
smooth-s1871-orientation_22-narrow__stress_10,smooth-s1871-orientation_22-narrow,smooth-s1871,smooth-s1871,smooth,orientation_22,narrow,10.0,teacher_discrete_jvp,1146880,,,1,,0,,logical_scalar_grid_point_queries,4480,0,central-difference RK4 stages plus midpoint output,,,,,,,,,,,,,,,,
smooth-s1871-orientation_22-narrow__stress_10,smooth-s1871-orientation_22-narrow,smooth-s1871,smooth-s1871,smooth,orientation_22,narrow,10.0,picard_1,458752,,,,,,,total_field_point_queries,,,,256,128,1,32768,32768,196608,229376,458752,2,1,1,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1871-orientation_22-narrow__stress_10,smooth-s1871-orientation_22-narrow,smooth-s1871,smooth-s1871,smooth,orientation_22,narrow,10.0,picard_2,688128,,,,,,,total_field_point_queries,,,,256,128,2,32768,32768,196608,229376,688128,3,2,2,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1871-orientation_22-narrow__stress_10,smooth-s1871-orientation_22-narrow,smooth-s1871,smooth-s1871,smooth,orientation_22,narrow,10.0,high128,1146880,,,,,1,,logical_scalar_grid_point_queries,4480,,,,,,,,,,,,,,,,,,
smooth-s1871-orientation_22-wide__stress_1,smooth-s1871-orientation_22-wide,smooth-s1871,smooth-s1871,smooth,orientation_22,wide,1.0,operator_consistent_homotopy,460544,7,4,0,0,0,all RK4 endpoints and midpoints,logical_scalar_grid_point_queries,,,,,,,,,,,,,,,,,,,
smooth-s1871-orientation_22-wide__stress_1,smooth-s1871-orientation_22-wide,smooth-s1871,smooth-s1871,smooth,orientation_22,wide,1.0,teacher_discrete_jvp,1146880,,,1,,0,,logical_scalar_grid_point_queries,4480,0,central-difference RK4 stages plus midpoint output,,,,,,,,,,,,,,,,
smooth-s1871-orientation_22-wide__stress_1,smooth-s1871-orientation_22-wide,smooth-s1871,smooth-s1871,smooth,orientation_22,wide,1.0,picard_1,458752,,,,,,,total_field_point_queries,,,,256,128,1,32768,32768,196608,229376,458752,2,1,1,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1871-orientation_22-wide__stress_1,smooth-s1871-orientation_22-wide,smooth-s1871,smooth-s1871,smooth,orientation_22,wide,1.0,picard_2,688128,,,,,,,total_field_point_queries,,,,256,128,2,32768,32768,196608,229376,688128,3,2,2,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
smooth-s1871-orientation_22-wide__stress_1,smooth-s1871-orientation_22-wide,smooth-s1871,smooth-s1871,smooth,orientation_22,wide,1.0,high128,1146880,,,,,1,,logical_scalar_grid_point_queries,4480,,,,,,,,,,,,,,,,,,
smooth-s1871-orientation_22-wide__stress_3,smooth-s1871-orientation_22-wide,smooth-s1871,smooth-s1871,smooth,orientation_22,wide,3.0,operator_consistent_homotopy,460544,7,4,0,0,0,all RK4 endpoints and midpoints,logical_scalar_grid_point_queries,,,,,,,,,,,,,,,,,,,
smooth-s1871-orientation_22-wide__stress_3,smooth-s1871-orientation_22-wide,smooth-s1871,smooth-s1871,smooth,orientation_22,wide,3.0,teacher_discrete_jvp,1146880,,,1,,0,,logical_scalar_grid_point_queries,4480,0,central-difference RK4 stages plus midpoint output,,,,,,,,,,,,,,,,
smooth-s1871-orientation_22-wide__stress_3,smooth-s1871-orientation_22-wide,smooth-s1871,smooth-s1871,smooth,orientation_22,wide,3.0,picard_1,458752,,,,,,,total_field_point_queries,,,,256,128,1,32768,32768,196608,229376,458752,2,1,1,229376,0,direction-first frozen-midpoint Picard/Gauss-Seidel,scalar_grid_evaluation_at_one_coordinate,one_frozen_path_curvature_sweep
